43224,38264,26125,24016,37024,33658,36557,30658,37635,34860,34023,33756,26867,24976,22283,20429,27570,25648,25644,21442,21666,19528,23035,21141,25870,22439,9724.1,8560.2,12471,9703.8,19620,14658,25908,23317,27501,25877,24523,22988,23340,22357,24986,22797,28025,26656,25187,19857,22028,19417,23097,22212,25277,24903,16122,16077,34741,32968,28098,26706,18563,17606,22982,21705,26919,25312,23419,21469,15635,12406,17139,15010,18005,15660,11102,12662,15615,11415,17616,15158,20642,17761,31404,27636,25861,25082,23660,22980,25025,24360,23249,22454,24682,25030,21450,20008,29731,27715
43264,38248,26104,23991,37173,33711,36602,30628,37656,34829,34038,33708,26900,24991,22252,20404,27505,25614,25655,21440,21630,19466,23026,21087,25900,22400,9730.2,8489.7,12466,9667.6,19636,14676,25917,23325,27474,25867,24503,22965,23335,22325,25032,22784,28077,26670,25131,19821,22036,19433,23108,22208,25356,24921,16109,16061,34747,32955,28115,26676,18576,17611,22971,21696,26924,25322,23370,21413,15639,12392,17129,14973,18004,15638,11155,12677,15607,11385,17613,15181,20631,17768,31409,27556,25846,25033,23631,22964,24893,24284,23166,22414,24646,25019,21420,19962,29692,27704
43365,38270,26112,23989,37148,33712,36572,30622,37735,34834,34015,33652,26863,24947,22315,20462,27536,25641,25588,21395,21762,19563,23106,21193,25900,22417,9830.6,8565.8,12525,9724.7,19608,14650,25916,23300,27487,25853,24475,22891,23323,22274,25066,22795,28070,26632,25156,19850,21996,19410,23186,22265,25327,24866,16199,16107,34800,32935,28103,26649,18578,17605,22977,21692,26894,25288,23500,21507,15657,12411,17125,14964,17979,15612,11143,12645,15626,11395,17572,15127,20618,17727,31421,27539,25809,24988,23597,22907,24988,24400,23179,22369,24590,24949,21373,19933,29723,27657
43368,38220,26121,23986,37138,33678,36532,30633,37773,34788,34019,33674,26869,24943,22353,20477,27502,25512,25633,21399,21753,19501,23111,21158,25879,22354,9816.9,8499.1,12453,9643,19628,14649,25907,23313,27495,25803,24472,22870,23318,22279,25084,22822,28057,26652,25110,19774,22023,19434,23156,22253,25418,24917,16166,16014,34847,32959,28121,26672,18604,17637,22994,21697,26940,25336,23399,21423,15687,12401,17144,14957,18012,15646,11206,12688,15619,11357,17563,15106,20600,17710,31467,27603,25848,25007,23630,22903,24903,24317,23131,22364,24619,24931,21410,20013,29664,27642
43336,38284,26151,24001,37071,33682,36559,30669,37793,34876,34063,33696,26856,24924,22368,20522,27561,25524,25565,21418,21792,19567,23106,21184,25848,22389,9817.2,8557.8,12507,9682.5,19622,14639,25888,23283,27527,25806,24489,22871,23340,22296,25053,22795,28021,26590,25136,19813,21966,19393,23199,22315,25372,24935,16130,16079,34840,32975,28140,26684,18565,17612,22991,21687,26890,25270,23463,21483,15703,12433,17113,14921,17961,15599,11176,12655,15648,11368,17567,15085,20573,17687,31519,27641,25838,25012,23598,22904,25025,24418,23195,22423,24662,24927,21406,19932,29706,27630
43316,38273,26128,24029,37159,33733,36579,30700,37728,34889,34028,33711,26833,24935,22337,20466,27574,25501,25609,21404,21742,19534,23067,21156,25864,22377,9764.3,8521.8,12443,9653.9,19527,14576,25871,23296,27493,25825,24468,22874,23336,22305,25076,22832,28076,26664,25024,19750,21999,19430,23093,22262,25302,24966,16091,16053,34840,32978,28125,26663,18570,17610,23002,21700,26910,25304,23371,21443,15666,12351,17147,14917,17988,15630,11153,12663,15601,11330,17570,15091,20527,17713,31442,27643,25807,24982,23562,22898,24996,24420,23195,22413,24626,24936,21471,19960,29650,27634
43361,38304,26150,24031,37143,33693,36635,30712,37811,34864,34033,33682,26835,24917,22330,20488,27606,25575,25585,21406,21746,19544,23111,21178,25920,22411,9849.9,8600.9,12507,9675,19549,14597,25888,23272,27546,25862,24462,22827,23365,22302,25094,22830,28100,26669,25064,19753,21995,19394,23131,22249,25309,24897,16133,16012,34794,32948,28112,26655,18581,17628,23018,21720,26876,25257,23446,21475,15671,12393,17158,14920,17961,15620,11173,12714,15587,11363,17586,15080,20519,17649,31473,27619,25808,25025,23568,22893,25165,24485,23280,22423,24674,24927,21427,19911,29669,27645
43426,38287,26138,23999,37165,33702,36607,30653,37778,34809,34047,33676,26849,24940,22357,20471,27574,25614,25646,21446,21755,19511,23119,21171,25964,22384,9809.1,8515.5,12472,9641.5,19674,14654,25869,23298,27509,25859,24445,22836,23372,22311,25090,22849,28067,26669,25033,19750,21986,19405,23141,22206,25379,24948,16183,16102,34784,32920,28075,26650,18557,17614,22968,21679,26925,25285,23411,21435,15590,12336,17129,14936,17966,15610,11242,12696,15592,11318,17591,15101,20548,17755,31442,27528,25854,25016,23617,22883,25008,24416,23229,22396,24662,24990,21420,19950,29639,27653
43395,38251,26151,24017,37123,33665,36614,30595,37711,34806,34012,33656,26865,24921,22354,20442,27550,25647,25655,21447,21735,19508,23118,21175,25929,22406,9847.4,8547.3,12539,9719.2,19715,14645,25915,23284,27566,25865,24509,22817,23411,22288,25109,22815,28106,26638,25114,19811,21977,19416,23112,22177,25327,24925,16211,16080,34792,32901,28081,26654,18541,17594,22987,21688,26954,25321,23423,21409,15550,12389,17103,14903,17971,15603,11184,12645,15607,11346,17600,15095,20577,17771,31449,27567,25822,25015,23610,22903,25031,24460,23276,22429,24686,25003,21413,20019,29748,27711
43438,38229,26134,24023,37128,33657,36601,30609,37697,34862,34003,33678,26859,24911,22332,20397,27510,25585,25668,21416,21706,19484,23084,21142,25928,22379,9786.6,8482.7,12484,9684.3,19665,14668,25905,23276,27538,25842,24509,22820,23388,22292,25084,22836,28095,26666,25088,19778,22052,19458,23076,22167,25309,24883,16209,16130,34775,32931,28102,26675,18553,17599,23002,21700,26965,25356,23407,21416,15566,12353,17110,14919,18019,15664,11196,12692,15595,11378,17612,15140,20591,17771,31422,27605,25826,24974,23621,22883,24958,24453,23274,22431,24681,24981,21462,20060,29720,27682
