2274,218,3047,35,4205,660,6446,368,12202,52,28146,121,6438,212,23,1,31,0,205,1,7,0,284,5,218,11,21,0,144,8,56,1,1209,40,147,12,568,3,333,2,92,3,140,8,53,0,1,0,9,1,161,18,5,0,203,57,651,78,162,12,48,8,2,1,192,5,9,0,9,1,1,0,24,0,30,0,15,0,17,0,7937,15,8454,19,657,2,129,1,107,2,495,0,0,0,14,1
234,2178,51,1403,502,4629,501,7912,28,9106,121,13834,128,5427,2,784,0,14,0,118,0,4,0,258,3,527,0,1,1,90,0,32,23,1258,17,256,3,1057,2,937,1,929,17,427,5,52,1,0,4,4,50,30,1,1,69,117,50,581,13,86,11,70,0,1,4,267,0,2,1,5,0,1,0,3,0,14,0,10,2,4,20,5288,22,4068,1,363,3,32,2,27,3,171,0,0,2,4
596,90,5808,94,15410,1747,23762,464,478,32,6438,128,126915,7719,91,2,99,1,801,6,50,2,1241,20,1709,29,125,0,689,12,353,14,41777,798,4834,198,2669,56,1694,34,1562,38,2373,145,863,17,10,1,11,1,8683,387,10,0,205,53,7888,285,5743,95,667,97,7,1,53,3,72,3,47,4,19,4,93,0,196,5,147,5,149,1,540,25,17102,120,1676,17,319,4,233,5,895,9,0,2,78,4
91,893,514,2982,2478,11863,636,13767,41,682,212,5427,7719,105364,4,46,1,21,7,94,0,11,14,393,19,1675,2,34,18,338,9,282,1029,32726,157,5816,37,1964,50,1528,47,1473,253,3081,87,636,3,4,1,3,832,7929,1,0,47,420,1059,8525,729,8194,86,1427,2,1,6,109,2,47,6,7,3,8,3,16,9,112,12,122,25,11,22,980,174,9809,17,387,12,69,15,69,22,128,0,4,9,15
153,9,2654,1,29,0,86,2,16,0,23,2,91,4,89842,1,3644,0,336,0,6988,0,1840,1,177,0,8417,0,2510,0,185,0,39,0,7,1,15,0,51,1,106,2,257,8,210,2,39,0,10,0,5,0,14,1,9,1,12,1,105,1,38,5,1,0,376,0,13543,0,406,0,83,1,16739,1,1754,0,374,0,273,0,3,0,6,2,10,0,6641,0,190,1,85,0,1,0,117,1
2,379,1,3025,5,38,1,88,0,34,1,784,2,46,1,77854,0,6857,0,128,0,9975,0,3923,0,277,1,11406,1,3414,0,258,0,18,4,16,0,6,0,67,7,111,31,510,5,277,4,52,1,76,0,1,0,45,0,8,0,2,10,91,32,71,5,9,1,1136,0,7077,0,269,4,205,0,9474,1,3786,1,325,5,302,0,128,1,74,0,8,0,5602,2,31,0,50,0,6,10,133
12,0,119,0,7,2,31,0,3,0,31,0,99,1,3644,0,6222,0,3383,0,2194,0,1219,0,57,1,409,0,877,0,11,0,21,1,24,7,42,1,274,0,124,3,291,11,81,2,22,0,1,0,1,0,1,0,0,0,1,0,60,1,50,7,3,0,9,0,201,0,42,1,32,2,714,0,385,0,43,1,86,0,5,0,524,0,29,0,14291,0,4479,1,4154,1,2,0,94,2
0,48,2,190,0,12,0,37,0,15,0,14,1,21,0,6857,0,6648,0,3420,0,1724,0,1597,0,80,0,343,0,336,0,29,3,14,2,46,1,20,0,195,3,121,13,472,1,95,3,17,0,3,0,0,0,1,1,0,1,1,7,82,12,69,0,5,0,68,0,88,0,16,0,40,0,55,0,174,1,44,5,64,0,2,0,271,1,40,1,17794,1,1204,1,2522,0,2,8,72
7,2,324,3,88,5,160,1,21,0,205,0,801,7,336,0,3383,0,20552,1,434,0,2674,2,750,0,176,1,242,2,34,2,224,6,105,21,402,3,9190,10,2361,5,1405,23,210,1,22,1,1,0,9,0,0,0,2,0,10,0,284,7,294,28,15,1,2,0,16,0,74,0,48,1,41,1,145,1,34,4,142,1,21,0,210,0,232,0,3181,0,3231,1,17659,3,4,1,258,1
4,212,12,380,4,66,4,154,0,175,1,118,6,94,0,128,0,3420,1,21905,0,47,1,4386,0,825,3,26,1,194,2,45,16,108,66,321,4,274,12,8241,15,1969,57,2100,3,229,4,15,0,1,0,2,0,1,0,4,5,19,51,544,41,405,2,17,0,63,0,7,0,23,1,24,1,6,1,30,1,62,6,28,0,67,2,194,4,836,1,4744,0,1637,5,11392,0,2,5,105
